pid,pid_name
04083000,Optical dual-touch panel
04083001,Optical Touch Screen
04090011,PC98 Series Layout Keyboard Mouse
04090012,ATerm IT75DSU ISDN TA
04090014,Japanese Keyboard
04090019,109 Japanese Keyboard with Bus-Powered Hub
0409001A,PC98 Series Layout Keyboard with Bus-Powered Hub
04090025,Mini Keyboard with Bus-Powered Hub
04090027,MultiSync Monitor
0409002C,Clik!-USB Drive
04090034,109 Japanese Keyboard with One-touch start buttons
0409003F,Wireless Keyboard with One-touch start buttons
04090040,Floppy
0409004E,SuperScript 1400 Series
0409004F,Wireless Keyboard with One-touch start buttons
04090050,7-port hub
04090058,HighSpeed Hub
04090059,HighSpeed Hub
0409005A,HighSpeed Hub
